0: [ 28.  273.1]
691: [166.  409.3]
692: [193.  372.4]
693: [335.  165.7]
694: [  9. 140.]
695: [352.  217.7]
696: [257.  235.5]
697: [306.  218.6]
698: [182.   35.4]
699: [252.  259.5]
700: [326.  155.6]
701: [ 30.  438.1]
702: [129.  205.3]
703: [142.   70.3]
704: [346.  173.7]
705: [280.  367.5]
706: [316.  150.6]
707: [222.  161.4]
708: [192.  306.4]
709: [ 67.  260.1]
710: [377.  117.7]
711: [159.   86.3]
712: [502. 116.]
713: [461.  116.9]
714: [290.  110.6]
715: [ 61.  171.1]
716: [45.  36.1]
717: [249.  159.5]
718: [188.  346.4]
719: [171.  242.3]
720: [421.  296.8]
721: [183.  322.4]
722: [138.  269.3]
723: [462.  260.9]
724: [151.   68.3]
725: [448.   74.9]
726: [ 49.  139.1]
727: [178.  245.3]
728: [401.  338.8]
729: [163.  248.3]
730: [452.  205.9]
731: [118.   56.2]
732: [140.  355.3]
733: [410.  299.8]
734: [243.  147.5]
735: [386.  373.8]
736: [13. 94.]
737: [ 60.  140.1]
738: [  2. 115.]
739: [144.   55.3]
740: [314.  176.6]
741: [128.   15.2]
742: [231.  248.5]
743: [405.  113.8]
744: [143.  222.3]
745: [179.  330.3]
746: [309.  135.6]
747: [161.   54.3]
748: [ 81.  478.2]
749: [172.  354.3]
750: [272.  157.5]
751: [ 85.  464.2]
752: [102.  407.2]
753: [259.  470.5]
754: [242.   16.5]
755: [280.  236.5]
756: [380.   99.7]
757: [189.  328.4]
758: [440.  305.9]
759: [174.  337.3]
760: [361.  244.7]
761: [270.  142.5]
762: [370.  293.7]
763: [149.   80.3]
764: [ 56.  147.1]
765: [163.  337.3]
766: [402.  388.8]
767: [152.  226.3]
768: [355.  273.7]
769: [360.  369.7]
770: [278.  255.5]
771: [156.  341.3]
772: [118.   38.2]
773: [140.   40.3]
774: [200.  365.4]
775: [152.  375.3]
776: [228.   38.4]
777: [302.  245.6]
778: [ 31.  129.1]
779: [161.  221.3]
780: [365.  229.7]
781: [153.   38.3]
782: [195.  378.4]
783: [358.  149.7]
784: [347.  138.7]
785: [316.  355.6]
786: [175.  404.3]
787: [279.  224.5]
788: [273.  177.5]
789: [166.   37.3]
790: [ 89.  450.2]
791: [267.  405.5]
792: [171.   60.3]
793: [170.  219.3]
794: [416.  102.8]
795: [270.  129.5]
796: [154.  350.3]
797: [230.  236.4]
798: [444.  295.9]
799: [128.  264.2]
800: [484.  236.9]
801: [ 69.  177.1]
802: [476.  110.9]
803: [435.  286.8]
804: [167.  228.3]
805: [433.  294.8]
806: [106.  197.2]
807: [467.  250.9]
808: [162.  236.3]
809: [424.  325.8]
810: [214.  235.4]
811: [450.  306.9]
812: [152.  359.3]
813: [ 99.  153.2]
814: [ 55.  159.1]
815: [  0. 474.]
816: [461.   97.9]
817: [148.   98.3]
818: [480.  185.9]
819: [243.  122.5]
820: [ 77.  164.2]
821: [ 0. 56.]
822: [472.   82.9]
823: [280.  152.5]
824: [374.  352.7]
825: [425.  263.8]
826: [249.  220.5]
827: [431.  454.8]
828: [147.  243.3]
829: [420.  117.8]
830: [486.  154.9]
831: [166.   73.3]
832: [289.  125.6]
833: [167.  395.3]
834: [433.  249.8]
835: [155.  247.3]
836: [165.   96.3]
837: [263.  484.5]
838: [106.   45.2]
839: [110.   83.2]
840: [170.  251.3]
841: [216.  249.4]
842: [ 65.  150.1]
843: [429.  362.8]
844: [278.  184.5]
845: [164.  345.3]
846: [322.  393.6]
847: [265.  285.5]
848: [418.  338.8]
849: [145.  364.3]
850: [368.  105.7]
851: [166.  375.3]
852: [190.  363.4]
853: [359.  132.7]
854: [289.  203.6]
855: [368.  452.7]
856: [446.  109.9]
857: [294.  156.6]
858: [177.   21.3]
859: [358.  285.7]
860: [306.  232.6]
861: [319.  272.6]
862: [344.  205.7]
863: [475.   66.9]
864: [225.    4.4]
865: [138.  427.3]
866: [150.  401.3]
867: [310.  256.6]
868: [294.  414.6]
869: [239.  446.5]
870: [346.  432.7]
871: [213.    7.4]
872: [215.  402.4]
873: [116.    4.2]
874: [295.  236.6]
875: [249.  250.5]
876: [224.   28.4]
877: [222.  241.4]
878: [70.   0.1]
879: [216.  471.4]
880: [219.  411.4]
881: [128.   66.2]
882: [156.  367.3]
883: [183.  337.4]
884: [410.  131.8]
885: [80.   7.2]
886: [284.  356.6]
887: [162.  356.3]
888: [372.  173.7]
889: [362.  405.7]
890: [420.  269.8]
891: [216.  171.4]
892: [383.  263.7]
893: [198.  409.4]
894: [369.  431.7]
895: [359.  180.7]
896: [123.  407.2]
897: [357.  297.7]
898: [103.   59.2]
899: [238.    0.5]
900: [320.  163.6]
901: [270.  234.5]
902: [199.    5.4]
903: [209.  391.4]
904: [435.   97.8]
905: [361.  200.7]
906: [340.  373.7]
907: [302.  402.6]
908: [187.  397.4]
909: [354.  257.7]
910: [269.  367.5]
911: [374.  461.7]
912: [298.  257.6]
913: [289.    0.6]
914: [236.  244.5]
915: [98.   0.2]
916: [147.  432.3]
917: [227.  419.4]
918: [330.  414.6]
919: [295.  392.6]
920: [220.  455.4]
921: [236.  424.5]
922: [194.  412.4]
923: [276.  410.5]
924: [216.  444.4]
925: [294.  434.6]
926: [315.  433.6]
927: [198.  445.4]
928: [204.  452.4]
929: [158.  384.3]
930: [208.   36.4]
931: [106.  450.2]
932: [321.  455.6]
933: [423.  365.8]
934: [249.  133.5]
935: [282.  163.6]
936: [464.  130.9]
937: [377.  154.7]
938: [144.  371.3]
939: [386.  146.8]
940: [390.  456.8]
941: [353.  229.7]
942: [328.  218.6]
943: [255.    0.5]
944: [398.  351.8]
945: [425.   71.8]
946: [172.  205.3]
947: [ 16. 238.]
948: [ 45.  125.1]
949: [302.  144.6]
950: [278.   20.5]
951: [127.  377.2]
952: [186.   60.4]
953: [308.  161.6]
954: [381.  361.7]
955: [176.  233.3]
956: [340.  279.7]
957: [360.  164.7]
958: [232.  259.5]
959: [385.  329.8]
960: [169.  329.3]
961: [153.  214.3]
962: [ 11. 125.]
963: [300.  196.6]
964: [288.  216.6]
965: [387.  179.8]
966: [407.  370.8]
967: [83.  41.2]
968: [  0. 190.]
969: [447.   90.9]
970: [239.  231.5]
971: [396.   99.8]
972: [205.  373.4]
973: [256.  188.5]
974: [201.  328.4]
975: [448.  251.9]
976: [134.   88.3]
977: [5. 0.]
978: [439.  239.9]
979: [155.  203.3]
980: [  0. 138.]
981: [267.   29.5]
982: [ 39.  138.1]
983: [322.  187.6]
984: [486.   88.9]
985: [288.  245.6]
986: [205.  397.4]
987: [440.  259.9]
988: [176.  321.3]
989: [380.  433.7]
990: [226.  374.4]
991: [377.  337.7]
992: [183.    5.4]
993: [158.  400.3]
994: [140.  334.3]
995: [441.  341.9]
996: [ 41.  151.1]
997: [137.  378.3]
998: [450.  482.9]
999: [  0. 415.]
1000: [506. 440.]
1001: [452.  461.9]
1002: [443.  226.9]
1003: [ 18. 227.]
1004: [174.  265.3]
1005: [441.  361.9]
1006: [485.  200.9]
1007: [395.  131.8]
1008: [389.  384.8]
1009: [209.  336.4]
1010: [  5. 411.]
1011: [ 94.  200.2]
1012: [411.   75.8]
1013: [265.  333.5]
1014: [393.  360.8]
1015: [422.  349.8]
1016: [  9. 200.]
1017: [478.  480.9]
1018: [  7. 187.]
1019: [ 18. 106.]
1020: [  0. 178.]
1021: [419.  306.8]
1022: [413.  358.8]
1023: [ 91.  178.2]
1024: [444.  454.9]
1025: [264.  156.5]
1026: [298.  172.6]
1027: [291.  493.6]
1028: [457.  296.9]
1029: [ 4. 83.]
1030: [336.  142.7]
1031: [20.  8.]
1032: [279.  208.5]
1033: [383.  348.7]
1034: [273.  343.5]
1035: [371.  253.7]
1036: [275.  375.5]
1037: [363.  418.7]
1038: [188.  235.4]
1039: [299.  375.6]
1040: [418.   26.8]
1041: [  0. 462.]
1042: [ 38.  113.1]
1043: [17. 19.]
1044: [ 38.  339.1]
1045: [ 32.  244.1]
1046: [411.  345.8]
1047: [442.  315.9]
1048: [490. 216.]
1049: [234.  129.5]
1050: [0. 4.]
1051: [111.  147.2]
1052: [489. 191.]
1053: [381.  402.7]
1054: [415.  174.8]
1055: [447.  186.9]
1056: [478.   94.9]
1057: [175.   84.3]
1058: [ 27.  374.1]
1059: [500. 198.]
1060: [235.  154.5]
1061: [334.  107.7]
1062: [355.   91.7]
1063: [315.  195.6]
1064: [361.  450.7]
1065: [296.  281.6]
1066: [262.  453.5]
1067: [258.  318.5]
1068: [445.  212.9]
1069: [298.    6.6]
1070: [425.  443.8]
1071: [  3. 433.]
1072: [176.  170.3]
1073: [ 12. 427.]
1074: [ 38.  376.1]
1075: [ 96.  186.2]
1076: [  2. 442.]
1077: [  4. 492.]
1078: [125.  189.2]
1079: [ 33.  389.1]
1080: [ 14. 414.]
1081: [374.  490.7]
1082: [ 56.  127.1]
1083: [252.  207.5]
1084: [431.  272.8]
1085: [260.  198.5]
1086: [478.    4.9]
1087: [ 39.  241.1]
1088: [ 20. 198.]
1089: [ 36.  346.1]
1090: [171.  312.3]
1091: [404.  143.8]
1092: [129.  341.3]
1093: [ 44.  381.1]
1094: [ 59.  103.1]
1095: [222.  124.4]
1096: [271.   67.5]
1097: [ 74.  484.1]
1098: [278.  453.5]
1099: [468.    0.9]
1100: [ 95.  216.2]
1101: [  5. 420.]
1102: [476.  228.9]
1103: [221.  270.4]
1104: [451.  283.9]
1105: [479.  302.9]
1106: [ 41.  162.1]
1107: [471.  260.9]
1108: [  0. 215.]
1109: [ 64.  193.1]
1110: [141.  312.3]
1111: [ 83.  132.2]
1112: [473.  322.9]
1113: [27.  88.1]
1114: [ 21. 364.]
1115: [ 35.  171.1]
1116: [428.   26.8]
1117: [ 19. 485.]
1118: [ 0. 43.]
1119: [181.   70.4]
1120: [219.  212.4]
1121: [ 48.  217.1]
1122: [ 36.  212.1]
1123: [ 63.  208.1]
1124: [429.  155.8]
1125: [459.    3.9]
1126: [ 25. 394.]
1127: [24. 30.]
1128: [ 52.  341.1]
1129: [ 27.  345.1]
1130: [160.  273.3]
1131: [110.  134.2]
1132: [280.   32.5]
1133: [486.  174.9]
1134: [213.  320.4]
1135: [ 38.  329.1]
1136: [ 34.  355.1]
1137: [232.   97.5]
1138: [105.  107.2]
1139: [361.    0.7]
1140: [445.    0.9]
1141: [476.  274.9]
1142: [151.  294.3]
1143: [392.  477.8]
1144: [490. 141.]
1145: [194.  248.4]
1146: [270.  215.5]
1147: [265.    0.5]
1148: [120.  349.2]
1149: [148.  136.3]
1150: [148.  177.3]
1151: [95.  48.2]
1152: [208.  190.4]
1153: [218.  328.4]
1154: [ 14. 150.]
1155: [463.  313.9]
1156: [178.  274.3]
1157: [399.   17.8]
1158: [104.  205.2]
1159: [411.  236.8]
1160: [52.  59.1]
1161: [407.  425.8]
1162: [ 64.  410.1]
1163: [28.  48.1]
1164: [315.   78.6]
1165: [284.   94.6]
1166: [252.  311.5]
1167: [295.  304.6]
1168: [305.  465.6]
1169: [289.  310.6]
1170: [317.  462.6]
1171: [ 74.  401.1]
1172: [239.  266.5]
1173: [338.  328.7]
1174: [319.  365.6]
1175: [330.  243.6]
1176: [121.  337.2]
1177: [120.  104.2]
1178: [497.  58.]
1179: [368.  305.7]
1180: [353.  479.7]
1181: [240.  382.5]
1182: [248.  381.5]
1183: [309.  328.6]
1184: [327.  468.6]
1185: [ 77.  451.2]
1186: [231.  399.5]
1187: [240.  462.5]
1188: [255.  432.5]
1189: [227.  353.4]
1190: [205.  166.4]
1191: [ 66.  448.1]
1192: [298.  349.6]
1193: [234.  323.5]
1194: [156.  192.3]
1195: [187.  219.4]
1196: [397.   81.8]
1197: [195.   97.4]
1198: [464.   50.9]
1199: [144.  188.3]
1200: [224.  326.4]
1201: [ 86.  148.2]
1202: [200.  156.4]
1203: [45.  86.1]
1204: [231.  331.5]
1205: [ 31.  475.1]
1206: [489. 262.]
1207: [ 76.  107.1]
1208: [166.  149.3]
1209: [302.  117.6]
1210: [255.   21.5]
1211: [368.  473.7]
1212: [ 88.  191.2]
1213: [498. 183.]
1214: [138.  323.3]
1215: [293.  479.6]
1216: [ 90.  127.2]
1217: [ 97.  163.2]
1218: [59.  12.1]
1219: [248.  279.5]
1220: [ 51.  167.1]
1221: [60.  28.1]
1222: [245.  196.5]
1223: [491.  45.]
1224: [ 1. 72.]
1225: [ 81.  394.2]
1226: [250.  299.5]
1227: [ 46.  422.1]
1228: [320.  334.6]
1229: [266.   15.5]
1230: [168.  136.3]
