431: [177.  185.3]
432: [169.   17.3]
433: [ 28.  212.1]
434: [286.  353.6]
435: [295.  248.6]
436: [288.  270.6]
437: [409.  433.8]
438: [490.  23.]
439: [213.  110.4]
440: [243.  283.5]
441: [497. 317.]
442: [393.  105.8]
443: [303.  292.6]
444: [223.   95.4]
445: [435.  469.8]
446: [ 45.  369.1]
447: [195.  304.4]
448: [ 50.  202.1]
449: [196.  235.4]
450: [240.  114.5]
451: [215.   84.4]
452: [140.  285.3]
453: [77.  51.2]
454: [144.   29.3]
455: [ 76.  150.1]
456: [251.    3.5]
457: [197.  511.4]
458: [108.  334.2]
459: [166.   27.3]
460: [155.  495.3]
461: [231.  457.5]
462: [176.  363.3]
463: [173.   36.3]
464: [169.  294.3]
465: [104.  455.2]
466: [151.  303.3]
467: [112.  414.2]
468: [167.  309.3]
469: [184.  508.4]
470: [273.  503.5]
471: [254.  345.5]
472: [172.   56.3]
473: [111.  470.2]
474: [246.  490.5]
475: [183.  501.4]
476: [105.  359.2]
477: [221.  295.4]
478: [ 26.  301.1]
479: [ 45.  138.1]
480: [226.   29.4]
481: [152.  109.3]
482: [ 69.  131.1]
483: [243.    4.5]
484: [155.  100.3]
485: [ 98.  297.2]
486: [205.  356.4]
487: [59.  80.1]
488: [106.    0.2]
489: [132.    3.3]
490: [250.  460.5]
491: [226.  419.4]
492: [149.  496.3]
493: [220.  410.4]
494: [243.  446.5]
495: [205.  418.4]
496: [141.  337.3]
497: [220.  362.4]
498: [ 10. 111.]
499: [119.  365.2]
500: [ 62.  160.1]
501: [176.  487.3]
502: [ 81.  331.2]
503: [243.   42.5]
504: [ 15. 139.]
505: [129.  116.3]
506: [154.   85.3]
507: [101.   90.2]
508: [154.  282.3]
509: [201.   34.4]
510: [107.  378.2]
511: [ 75.  204.1]
512: [304.  337.6]
513: [237.  227.5]
514: [281.    8.5]
515: [401.  462.8]
516: [409.  458.8]
517: [202.  120.4]
518: [273.  510.5]
519: [444.   48.9]
520: [156.  214.3]
521: [186.  491.4]
522: [116.  306.2]
523: [ 93.  420.2]
524: [186.   60.4]
525: [68.  35.1]
526: [266.  423.5]
527: [483.  384.9]
528: [88.   3.2]
529: [157.  182.3]
530: [79.  41.2]
531: [242.   13.5]
532: [ 75.  248.1]
533: [251.  245.5]
534: [439.  505.9]
535: [281.  297.5]
536: [276.   36.5]
537: [490. 406.]
538: [ 76.  233.1]
539: [262.   46.5]
540: [257.   95.5]
541: [ 59.  376.1]
542: [292.  348.6]
543: [192.  267.4]
544: [400.    1.8]
545: [174.  135.3]
546: [179.   89.3]
547: [226.  222.4]
548: [390.  506.8]
549: [274.   15.5]
550: [153.  317.3]
551: [ 54.  338.1]
552: [154.  239.3]
553: [ 61.  358.1]
554: [384.  488.8]
555: [511. 400.]
556: [392.  479.8]
557: [466.  408.9]
558: [269.   11.5]
559: [259.   17.5]
560: [ 69.  320.1]
561: [ 79.  394.2]
562: [200.   27.4]
563: [143.   93.3]
564: [229.   22.4]
565: [113.   69.2]
566: [264.   19.5]
567: [270.   20.5]
568: [196.   93.4]
569: [239.   94.5]
570: [166.   72.3]
571: [ 45.  309.1]
572: [492. 125.]
573: [472.   24.9]
574: [265.    0.5]
575: [96.  79.2]
576: [127.  274.2]
577: [120.  511.2]
578: [112.  353.2]
579: [104.   73.2]
580: [248.  409.5]
581: [268.  434.5]
582: [391.    2.8]
583: [85.  88.2]
584: [285.  506.6]
585: [ 89.  185.2]
586: [206.   17.4]
587: [97.  63.2]
588: [129.   89.3]
589: [107.  125.2]
590: [132.  198.3]
591: [ 65.  146.1]
592: [191.   18.4]
593: [231.  345.5]
594: [115.  501.2]
595: [246.  482.5]
596: [108.   56.2]
597: [ 98.  489.2]
598: [262.   27.5]
599: [216.  333.4]
600: [254.   16.5]
601: [173.   75.3]
602: [73.  91.1]
603: [471.  510.9]
604: [119.   63.2]
605: [227.  397.4]
606: [279.  499.5]
607: [36.  95.1]
608: [161.   36.3]
609: [ 45.  339.1]
610: [412.    4.8]
611: [118.  262.2]
612: [259.  468.5]
613: [ 88.  318.2]
614: [124.   78.2]
615: [107.  389.2]
616: [137.  103.3]
617: [113.   88.2]
618: [ 54.  288.1]
619: [ 18. 119.]
620: [154.   17.3]
621: [254.  485.5]
622: [246.  370.5]
623: [223.  431.4]
624: [264.  412.5]
625: [84.  59.2]
626: [265.  457.5]
627: [180.  494.4]
628: [240.  495.5]
629: [258.  491.5]
630: [262.  443.5]
631: [123.  469.2]
632: [270.  451.5]
633: [172.  147.3]
634: [149.   80.3]
635: [231.   11.5]
636: [258.   23.5]
637: [130.   70.3]
638: [196.  365.4]
639: [194.    6.4]
640: [238.   19.5]
641: [244.   35.5]
642: [120.  483.2]
643: [252.   10.5]
644: [ 7. 93.]
645: [465.  465.9]
646: [153.   40.3]
647: [179.   56.3]
648: [246.  430.5]
649: [220.  508.4]
650: [158.  124.3]
651: [216.  142.4]
652: [158.  159.3]
653: [222.   87.4]
654: [126.  130.2]
655: [171.  241.3]
656: [220.   26.4]
657: [ 36.  359.1]
658: [247.  257.5]
659: [280.   83.5]
660: [280.   41.5]
661: [102.  419.2]
662: [159.   89.3]
663: [196.   47.4]
664: [132.  468.3]
665: [229.  506.4]
666: [194.  118.4]
667: [193.   61.4]
668: [123.   68.2]
669: [231.  385.5]
670: [485.  435.9]
671: [199.  503.4]
672: [ 83.  139.2]
673: [133.   79.3]
674: [100.  111.2]
675: [209.    8.4]
676: [103.   34.2]
677: [144.  470.3]
678: [208.  505.4]
679: [186.   41.4]
680: [258.  284.5]
681: [149.  183.3]
682: [135.   62.3]
683: [228.    4.4]
684: [ 95.  100.2]
685: [121.  161.2]
686: [109.   15.2]
687: [182.   71.4]
688: [257.  354.5]
689: [134.  495.3]
690: [235.  479.5]
691: [206.    2.4]
692: [244.   27.5]
693: [139.  185.3]
694: [259.  235.5]
695: [109.  141.2]
696: [175.   64.3]
697: [145.   85.3]
698: [ 93.  505.2]
699: [171.   50.3]
700: [144.  175.3]
