495: [238.  267.5]
496: [320.  227.6]
497: [268.  194.5]
498: [290.  160.6]
499: [356.  257.7]
500: [365.  149.7]
501: [159.  287.3]
502: [331.  276.6]
503: [240.  455.5]
504: [312.  158.6]
505: [122.  409.2]
506: [156.  438.3]
507: [123.  370.2]
508: [378.  150.7]
509: [215.  395.4]
510: [365.  255.7]
511: [511. 202.]
512: [ 24. 323.]
513: [118.  131.2]
514: [276.  403.5]
515: [ 79.  337.2]
516: [ 74.  307.1]
517: [173.  484.3]
518: [265.  390.5]
519: [351.  108.7]
520: [101.  397.2]
521: [177.  334.3]
522: [325.  209.6]
523: [388.  256.8]
524: [185.  445.4]
525: [359.  136.7]
526: [295.  330.6]
527: [436.  239.9]
528: [347.  157.7]
529: [176.  132.3]
530: [114.  272.2]
531: [239.  413.5]
532: [504. 229.]
533: [102.  144.2]
534: [109.  340.2]
535: [ 32.  168.1]
536: [285.  453.6]
537: [394.  225.8]
538: [  8. 216.]
539: [258.  453.5]
540: [292.   15.6]
541: [406.  278.8]
542: [ 20. 210.]
543: [106.  164.2]
544: [123.  432.2]
545: [267.   97.5]
546: [170.  457.3]
547: [108.  108.2]
548: [119.  481.2]
549: [270.  423.5]
550: [359.  181.7]
551: [341.  288.7]
552: [ 94.  348.2]
553: [411.  253.8]
554: [110.  439.2]
555: [454.  251.9]
556: [ 99.  409.2]
557: [400.  211.8]
558: [267.  416.5]
559: [257.  418.5]
560: [338.  237.7]
561: [390.  282.8]
562: [219.  389.4]
563: [137.  430.3]
564: [221.  416.4]
565: [134.  358.3]
566: [260.  424.5]
567: [265.  429.5]
568: [181.  491.4]
569: [254.   20.5]
570: [166.  413.3]
571: [369.  209.7]
572: [313.  129.6]
573: [378.  132.7]
574: [261.  397.5]
575: [291.  126.6]
576: [409.  167.8]
577: [280.  147.5]
578: [349.  283.7]
579: [129.  328.3]
580: [282.  305.6]
581: [283.  325.6]
582: [125.  448.2]
583: [115.  308.2]
584: [275.  387.5]
585: [ 84.  234.2]
586: [206.  403.4]
587: [122.  319.2]
588: [146.  375.3]
589: [114.  363.2]
590: [131.  212.3]
591: [348.  142.7]
592: [200.  383.4]
593: [325.  186.6]
594: [258.  159.5]
595: [253.  354.5]
596: [123.  356.2]
597: [342.  168.7]
598: [262.  437.5]
599: [367.  183.7]
600: [249.  418.5]
601: [177.  395.3]
602: [116.  295.2]
603: [373.  140.7]
604: [139.  384.3]
605: [273.  281.5]
606: [220.  379.4]
607: [314.  169.6]
608: [171.  406.3]
609: [349.  246.7]
610: [330.  106.6]
611: [402.  162.8]
612: [254.  341.5]
613: [319.  275.6]
614: [148.  352.3]
615: [374.  259.7]
616: [284.  111.6]
617: [136.  368.3]
618: [365.  201.7]
619: [304.  311.6]
620: [159.  348.3]
621: [247.  365.5]
622: [281.  182.5]
623: [242.  291.5]
624: [302.  322.6]
625: [109.  319.2]
626: [264.  335.5]
627: [171.  326.3]
628: [231.  355.5]
629: [239.  371.5]
630: [273.  327.5]
631: [292.  178.6]
632: [272.  341.5]
633: [237.   97.5]
634: [151.  428.3]
635: [232.  403.5]
636: [256.  430.5]
637: [139.  401.3]
638: [297.  268.6]
639: [201.  366.4]
640: [236.  421.5]
641: [243.  445.5]
642: [255.  173.5]
643: [248.  409.5]
644: [321.  155.6]
645: [381.  172.7]
646: [163.  402.3]
647: [182.  429.4]
648: [163.  257.3]
649: [226.  369.4]
650: [255.  106.5]
651: [244.   76.5]
652: [206.  118.4]
653: [206.  499.4]
654: [237.  138.5]
655: [134.  169.3]
656: [220.  424.4]
657: [402.  242.8]
658: [ 86.  140.2]
659: [287.  511.6]
660: [277.  463.5]
661: [386.  248.8]
662: [151.  465.3]
663: [203.  432.4]
664: [280.  169.5]
665: [217.  364.4]
666: [164.  490.3]
667: [193.  463.4]
668: [142.  390.3]
669: [289.  285.6]
670: [351.  209.7]
671: [189.  350.4]
672: [137.  232.3]
673: [151.  387.3]
674: [202.  154.4]
675: [199.  416.4]
676: [192.  178.4]
677: [214.  180.4]
678: [199.  349.4]
679: [192.  434.4]
680: [ 60.  168.1]
681: [185.  143.4]
682: [134.  417.3]
683: [240.  399.5]
684: [203.  165.4]
685: [167.  163.3]
686: [260.  145.5]
687: [181.  456.4]
688: [314.  179.6]
689: [192.  195.4]
690: [225.  338.4]
691: [193.  411.4]
692: [238.  431.5]
693: [107.  375.2]
694: [ 82.  108.2]
695: [102.  365.2]
696: [176.  438.3]
697: [147.  434.3]
698: [338.  153.7]
699: [175.  418.3]
700: [188.  152.4]
701: [ 37.  323.1]
702: [283.   58.6]
703: [191.  119.4]
704: [176.  173.3]
705: [152.  320.3]
706: [210.  138.4]
707: [253.   45.5]
708: [307.  462.6]
709: [423.    3.8]
710: [ 58.  220.1]
711: [204.  103.4]
712: [ 93.  148.2]
713: [ 75.  160.1]
714: [119.  458.2]
715: [122.   66.2]
716: [ 89.  436.2]
717: [256.   61.5]
718: [263.  458.5]
719: [319.  506.6]
720: [ 16. 227.]
721: [297.  465.6]
722: [364.  505.7]
723: [495. 441.]
724: [194.  109.4]
725: [ 79.  263.2]
726: [127.  109.2]
727: [277.    9.5]
728: [500. 244.]
729: [325.  510.6]
730: [ 27.  464.1]
731: [166.  125.3]
732: [236.  473.5]
733: [  2. 228.]
734: [246.   60.5]
735: [386.  216.8]
736: [100.  117.2]
737: [156.   89.3]
738: [120.  156.2]
739: [188.  130.4]
740: [245.  119.5]
741: [151.  177.3]
742: [200.  468.4]
743: [ 19. 171.]
744: [284.   49.6]
745: [285.  470.6]
746: [198.  136.4]
747: [180.  119.4]
748: [100.  295.2]
749: [248.  454.5]
750: [257.   90.5]
751: [337.  136.7]
752: [169.  366.3]
753: [323.  265.6]
754: [364.  191.7]
755: [160.  421.3]
756: [ 34.  185.1]
757: [289.  461.6]
758: [503. 376.]
759: [280.  477.5]
760: [103.  231.2]
761: [239.   87.5]
762: [396.  175.8]
763: [176.   96.3]
764: [146.   88.3]
765: [278.  495.5]
766: [387.  238.8]
767: [271.   30.5]
768: [ 99.  257.2]
769: [393.  202.8]
770: [157.  395.3]
771: [280.  503.5]
772: [157.  157.3]
773: [168.  150.3]
774: [255.  438.5]
775: [216.  471.4]
776: [336.  176.7]
777: [148.  399.3]
778: [126.  123.2]
779: [279.   35.5]
780: [ 95.  320.2]
781: [179.  160.3]
782: [242.  425.5]
783: [111.  204.2]
784: [ 92.  383.2]
785: [317.  311.6]
786: [224.  407.4]
787: [165.  439.3]
788: [169.  470.3]
789: [165.  195.3]
790: [128.  267.2]
791: [260.  325.5]
792: [113.  393.2]
793: [282.   19.6]
794: [ 48.  171.1]
795: [227.   89.4]
796: [271.  503.5]
797: [186.  480.4]
798: [511. 385.]
799: [370.  510.7]
800: [ 12. 492.]
801: [127.   76.2]
802: [ 86.  159.2]
803: [  1. 376.]
804: [272.   21.5]
805: [ 26.  221.1]
806: [385.   24.8]
807: [493. 453.]
808: [285.   26.6]
809: [  1. 240.]
810: [208.  479.4]
811: [  0. 367.]
812: [263.  502.5]
813: [159.   70.3]
814: [112.   75.2]
815: [492. 354.]
816: [ 80.  178.2]
817: [174.   67.3]
818: [55.  97.1]
819: [232.   70.5]
820: [147.   65.3]
821: [ 82.  389.2]
822: [ 97.  192.2]
823: [247.   97.5]
824: [470.  229.9]
825: [ 43.  203.1]
826: [179.  499.3]
827: [423.  309.8]
828: [344.   13.7]
829: [ 54.  183.1]
830: [ 70.  116.1]
831: [198.   96.4]
832: [216.  103.4]
833: [215.  407.4]
834: [ 15. 423.]
835: [340.    2.7]
836: [212.   91.4]
837: [342.  227.7]
838: [155.  130.3]
839: [177.  109.3]
840: [277.    0.5]
841: [220.  482.4]
842: [140.   79.3]
843: [459.  244.9]
844: [158.  484.3]
845: [272.  490.5]
846: [324.  199.6]
847: [186.  386.4]
848: [493. 249.]
849: [227.  473.4]
850: [ 64.  235.1]
851: [225.  431.4]
852: [250.  444.5]
853: [100.  210.2]
854: [155.  472.3]
855: [379.  265.7]
856: [ 72.  170.1]
857: [239.  109.5]
858: [305.  180.6]
859: [377.  160.7]
860: [142.  411.3]
861: [177.  187.3]
862: [123.  394.2]
863: [ 97.  222.2]
864: [312.  210.6]
865: [185.  340.4]
866: [198.  404.4]
867: [259.  128.5]
868: [260.  187.5]
869: [280.  294.5]
870: [376.  251.7]
871: [349.  192.7]
872: [232.  344.5]
873: [246.  153.5]
874: [148.  419.3]
875: [186.  420.4]
876: [353.  162.7]
877: [200.  478.4]
878: [126.  254.2]
879: [282.  262.6]
880: [234.  325.5]
881: [163.  100.3]
882: [235.  463.5]
883: [274.  455.5]
884: [504. 146.]
885: [135.  187.3]
886: [141.  325.3]
887: [230.  456.4]
888: [109.  219.2]
889: [359.  230.7]
890: [ 36.  227.1]
891: [259.   36.5]
892: [ 22. 192.]
893: [209.  355.4]
894: [391.  267.8]
895: [146.  211.3]
896: [183.  410.4]
897: [388.  176.8]
898: [157.  117.3]
899: [328.  218.6]
900: [223.  128.4]
901: [166.  429.3]
902: [342.  184.7]
903: [243.  387.5]
904: [ 79.  196.2]
905: [118.  381.2]
906: [335.  190.7]
907: [270.  181.5]
908: [233.  393.5]
909: [112.  242.2]
910: [163.  336.3]
911: [380.  274.7]
912: [125.  346.2]
913: [369.  228.7]
914: [195.  424.4]
915: [267.  167.5]
916: [185.  328.4]
917: [240.  334.5]
918: [315.  258.6]
919: [146.  261.3]
920: [265.  289.5]
921: [242.  317.5]
922: [215.  345.4]
923: [157.  274.3]
924: [249.  300.5]
925: [302.  288.6]
926: [307.  267.6]
927: [233.  279.5]
928: [252.  268.5]
929: [212.  428.4]
930: [354.  149.7]
931: [148.  245.3]
932: [359.  267.7]
933: [462.  252.9]
934: [241.   67.5]
935: [145.  477.3]
936: [ 59.  122.1]
937: [ 83.  221.2]
938: [221.  463.4]
939: [  1. 163.]
940: [397.  287.8]
941: [108.  352.2]
942: [129.  404.3]
943: [347.  221.7]
944: [445.  238.9]
945: [ 68.  270.1]
946: [297.   32.6]
947: [498.  34.]
948: [145.  116.3]
949: [212.  128.4]
950: [460.  178.9]
951: [204.  442.4]
952: [103.  330.2]
953: [230.  119.4]
954: [460.  229.9]
955: [267.   14.5]
956: [366.  160.7]
957: [119.  218.2]
958: [192.  456.4]
959: [489. 230.]
