445: [191.  393.4]
446: [298.  452.6]
447: [164.  416.3]
448: [225.  435.4]
449: [ 51.  435.1]
450: [479.  289.9]
451: [ 76.  279.1]
452: [398.  351.8]
453: [189.  348.4]
454: [202.  284.4]
455: [199.  366.4]
456: [200.  196.4]
457: [220.  241.4]
458: [330.  394.6]
459: [168.  283.3]
460: [228.  279.4]
461: [278.  198.5]
462: [332.  371.6]
463: [165.  272.3]
464: [192.  404.4]
465: [269.  397.5]
466: [216.  397.4]
467: [303.  409.6]
468: [221.  387.4]
469: [213.  270.4]
470: [197.  165.4]
471: [383.  342.7]
472: [ 96.  304.2]
473: [248.  357.5]
474: [221.  195.4]
475: [226.  266.4]
476: [342.  416.7]
477: [116.  441.2]
478: [382.  382.7]
479: [376.  336.7]
480: [143.  239.3]
481: [152.  331.3]
482: [199.  352.4]
483: [205.  224.4]
484: [159.  309.3]
485: [350.  342.7]
486: [341.  344.7]
487: [394.  328.8]
488: [224.  329.4]
489: [219.  303.4]
490: [258.  188.5]
491: [281.  274.5]
492: [234.  284.5]
493: [293.  267.6]
494: [261.  260.5]
495: [308.  238.6]
496: [348.  368.7]
497: [326.  311.6]
498: [378.  311.7]
499: [328.  405.6]
500: [208.  376.4]
501: [248.  268.5]
502: [350.  389.7]
503: [132.  224.3]
504: [379.  323.7]
505: [362.  200.7]
506: [101.  327.2]
507: [174.  339.3]
508: [203.  403.4]
509: [186.  227.4]
510: [327.  415.6]
511: [200.  458.4]
512: [231.   37.5]
513: [375.  133.7]
514: [166.  172.3]
515: [262.  106.5]
516: [174.  426.3]
517: [ 69.  319.1]
518: [191.  173.4]
519: [416.  315.8]
520: [112.  404.2]
521: [239.  256.5]
522: [358.  354.7]
523: [301.  434.6]
524: [104.  288.2]
525: [206.  357.4]
526: [339.  262.7]
527: [267.  448.5]
528: [224.  364.4]
529: [ 83.  401.2]
530: [202.  344.4]
531: [186.  214.4]
532: [211.  475.4]
533: [363.  118.7]
534: [173.  373.3]
535: [285.   95.6]
536: [127.  190.2]
537: [280.  418.5]
538: [199.  472.4]
539: [118.  208.2]
540: [  9. 286.]
541: [304.  460.6]
542: [175.  491.3]
543: [347.  120.7]
544: [368.  188.7]
545: [ 71.  366.1]
546: [133.  300.3]
547: [ 24. 433.]
548: [441.  324.9]
549: [165.  185.3]
550: [236.  392.5]
551: [358.  412.7]
552: [285.  123.6]
553: [290.  436.6]
554: [438.  352.9]
555: [270.  482.5]
556: [104.  410.2]
557: [258.  422.5]
558: [174.  187.3]
559: [176.  202.3]
560: [355.  379.7]
561: [320.  449.6]
562: [194.  224.4]
563: [140.  330.3]
564: [177.  224.3]
565: [362.  224.7]
566: [170.  197.3]
567: [165.  192.3]
568: [ 59.  308.1]
569: [ 22. 289.]
570: [115.  312.2]
571: [373.  379.7]
572: [400.  307.8]
573: [408.  341.8]
574: [189.  182.4]
575: [253.  136.5]
576: [400.  362.8]
577: [220.  317.4]
578: [349.  412.7]
579: [256.  146.5]
580: [319.  260.6]
581: [341.  250.7]
582: [373.  208.7]
583: [186.  338.4]
584: [188.  161.4]
585: [153.  438.3]
586: [186.  241.4]
587: [199.  317.4]
588: [173.  317.3]
589: [173.  349.3]
590: [160.  396.3]
591: [217.  355.4]
592: [203.  235.4]
593: [244.  375.5]
594: [237.  327.5]
595: [228.  190.4]
596: [186.  320.4]
597: [237.  359.5]
598: [151.  196.3]
599: [238.  382.5]
600: [183.  205.4]
601: [114.  302.2]
602: [195.  334.4]
603: [400.  337.8]
604: [190.  309.4]
605: [290.  306.6]
606: [207.  163.4]
607: [369.  335.7]
608: [181.  275.4]
609: [363.  407.7]
610: [427.  313.8]
611: [206.  415.4]
612: [243.  184.5]
613: [341.  381.7]
614: [245.  148.5]
615: [320.  422.6]
616: [165.  328.3]
617: [360.  237.7]
618: [258.  388.5]
619: [369.  310.7]
620: [243.  158.5]
621: [225.  182.4]
622: [338.  299.7]
623: [284.  251.6]
624: [339.  273.7]
625: [281.  135.5]
626: [266.  179.5]
627: [237.  264.5]
628: [219.  202.4]
629: [220.  176.4]
630: [344.  238.7]
631: [260.  346.5]
632: [255.  178.5]
633: [ 63.  373.1]
634: [124.  326.2]
635: [196.  214.4]
636: [160.  198.3]
637: [180.  307.4]
638: [336.  353.7]
639: [213.  233.4]
640: [161.  218.3]
641: [140.  218.3]
642: [244.  336.5]
643: [192.  202.4]
644: [385.  331.8]
645: [225.  397.4]
646: [178.  285.3]
647: [ 93.  296.2]
648: [261.  274.5]
649: [218.  224.4]
650: [ 96.  344.2]
651: [ 16. 359.]
652: [ 98.  383.2]
653: [ 60.  282.1]
654: [146.  359.3]
655: [348.  134.7]
656: [152.  230.3]
657: [282.  443.6]
658: [359.  109.7]
659: [ 47.  205.1]
660: [118.  197.2]
661: [301.  423.6]
662: [ 93.  331.2]
663: [158.  253.3]
664: [253.  339.5]
665: [215.  214.4]
666: [ 64.  329.1]
667: [105.  277.2]
668: [191.  302.4]
669: [303.  296.6]
670: [281.  389.5]
671: [224.  248.4]
672: [190.  358.4]
673: [170.  302.3]
674: [346.  172.7]
675: [185.  250.4]
676: [295.  143.6]
677: [253.  310.5]
678: [229.  237.4]
679: [166.  261.3]
680: [307.  110.6]
681: [365.  176.7]
682: [125.  347.2]
683: [202.  207.4]
684: [337.  172.7]
685: [350.  153.7]
686: [228.  310.4]
687: [118.  290.2]
688: [363.  329.7]
689: [239.  302.5]
690: [237.  195.5]
691: [193.  256.4]
692: [154.  214.3]
693: [146.  384.3]
694: [382.  106.7]
695: [156.  379.3]
696: [ 86.  307.2]
697: [132.  322.3]
698: [230.  347.4]
699: [104.  300.2]
700: [358.  172.7]
701: [214.   37.4]
702: [503. 337.]
703: [ 72.  400.1]
704: [339.  156.7]
705: [348.  223.7]
706: [127.  377.2]
707: [ 20. 325.]
708: [118.  178.2]
709: [466.  158.9]
710: [152.  470.3]
711: [ 42.  387.1]
712: [356.  116.7]
713: [339.  104.7]
714: [435.  334.8]
715: [420.  156.8]
716: [ 72.  430.1]
717: [ 13. 344.]
718: [110.  204.2]
719: [ 35.  218.1]
720: [190.  487.4]
721: [110.  181.2]
722: [503. 234.]
723: [ 87.  495.2]
724: [ 72.  390.1]
725: [164.  438.3]
726: [387.  148.8]
727: [ 52.  217.1]
728: [243.  442.5]
729: [ 36.  207.1]
730: [395.   65.8]
731: [ 71.  411.1]
732: [ 95.  239.2]
733: [207.  483.4]
734: [509. 347.]
735: [269.  421.5]
736: [ 36.  449.1]
737: [395.  175.8]
738: [356.  129.7]
739: [ 92.  394.2]
740: [113.  354.2]
