0: [ 51.  101.1]
421: [265.  279.5]
422: [240.  147.5]
423: [  5. 365.]
424: [360.  114.7]
425: [412.  335.8]
426: [505. 368.]
427: [227.  417.4]
428: [  8. 400.]
429: [419.   29.8]
430: [  9. 394.]
431: [447.  127.9]
432: [457.  312.9]
433: [305.  181.6]
434: [233.  167.5]
435: [159.   53.3]
436: [190.   83.4]
437: [240.  162.5]
438: [333.  168.7]
439: [455.  511.9]
440: [169.   76.3]
441: [225.  208.4]
442: [479.   90.9]
443: [188.  123.4]
444: [450.  462.9]
445: [408.  210.8]
446: [229.  296.4]
447: [326.  131.6]
448: [294.  195.6]
449: [194.  502.4]
450: [496.   4.]
451: [421.  467.8]
452: [371.  230.7]
453: [444.  257.9]
454: [318.    9.6]
455: [422.  245.8]
456: [496. 368.]
457: [342.  494.7]
458: [240.  361.5]
459: [444.  330.9]
460: [408.  373.8]
461: [306.  451.6]
462: [260.  369.5]
463: [437.  353.9]
464: [405.  222.8]
465: [314.  297.6]
466: [374.  251.7]
467: [268.  318.5]
468: [382.  247.7]
469: [401.  401.8]
470: [  4. 340.]
471: [370.  266.7]
472: [376.  485.7]
473: [358.  302.7]
474: [495. 344.]
475: [317.  507.6]
476: [226.  346.4]
477: [246.   81.5]
478: [309.  253.6]
479: [375.  274.7]
480: [460.  393.9]
481: [366.   37.7]
482: [424.  266.8]
483: [467.  363.9]
484: [450.  304.9]
485: [332.  316.6]
486: [234.  385.5]
487: [397.  289.8]
488: [390.  305.8]
489: [404.  353.8]
490: [294.  474.6]
491: [270.  431.5]
492: [403.  367.8]
493: [272.  418.5]
494: [287.  452.6]
495: [297.  412.6]
496: [294.  326.6]
497: [239.  397.5]
498: [198.  426.4]
499: [241.  347.5]
500: [402.  242.8]
501: [264.  478.5]
502: [222.  376.4]
503: [476.  412.9]
504: [385.  293.8]
505: [328.   50.6]
506: [370.   13.7]
507: [312.   64.6]
508: [391.  220.8]
509: [450.  366.9]
510: [238.  337.5]
511: [282.  179.6]
512: [162.  182.3]
513: [458.  187.9]
514: [ 20. 360.]
515: [332.  142.6]
516: [320.  147.6]
517: [406.  491.8]
518: [  5. 349.]
519: [488. 246.]
520: [427.  163.8]
521: [314.  496.6]
522: [321.  307.6]
523: [246.  309.5]
524: [406.  429.8]
525: [416.  256.8]
526: [222.  457.4]
527: [253.  258.5]
528: [394.  264.8]
529: [388.  105.8]
530: [431.  257.8]
531: [484.  378.9]
532: [265.  197.5]
533: [188.   28.4]
534: [458.  244.9]
535: [215.  109.4]
536: [ 15. 402.]
537: [266.  258.5]
538: [266.  183.5]
539: [505. 420.]
540: [ 17. 474.]
541: [218.  297.4]
542: [247.  167.5]
543: [219.   42.4]
544: [368.   80.7]
545: [396.   43.8]
546: [389.  505.8]
547: [486.  190.9]
548: [413.   96.8]
549: [  6. 379.]
550: [345.  279.7]
551: [275.  305.5]
552: [430.  186.8]
553: [259.  296.5]
554: [178.  473.3]
555: [232.  255.5]
556: [473.  202.9]
557: [279.  230.5]
558: [  1. 372.]
559: [507. 382.]
560: [290.  309.6]
561: [218.  315.4]
562: [458.  363.9]
563: [358.   31.7]
564: [456.  375.9]
565: [428.  313.8]
566: [505. 391.]
567: [  0. 387.]
568: [414.  485.8]
569: [497. 496.]
570: [360.  505.7]
571: [310.  267.6]
572: [419.  282.8]
573: [414.  199.8]
574: [  0. 357.]
575: [426.  295.8]
576: [360.  222.7]
577: [193.  450.4]
578: [231.  351.5]
579: [231.    4.5]
580: [238.  439.5]
581: [233.  473.5]
582: [375.   72.7]
583: [441.  272.9]
584: [ 16. 340.]
585: [295.  125.6]
586: [437.  371.9]
587: [419.  305.8]
588: [438.  310.9]
589: [251.   21.5]
590: [278.   76.5]
591: [409.  267.8]
592: [449.  350.9]
593: [359.  285.7]
594: [382.  313.7]
595: [497. 331.]
596: [267.   27.5]
597: [374.  302.7]
598: [506. 403.]
599: [354.  277.7]
600: [496. 385.]
601: [362.  496.7]
602: [431.  277.8]
603: [401.  203.8]
604: [309.   27.6]
605: [259.  411.5]
606: [  8. 331.]
607: [373.  283.7]
608: [351.  506.7]
609: [277.  313.5]
610: [493. 260.]
611: [367.  216.7]
612: [299.  486.6]
613: [246.  377.5]
614: [432.  325.8]
615: [239.  326.5]
616: [440.  298.9]
617: [447.  287.9]
618: [330.  272.6]
619: [207.  431.4]
620: [304.    8.6]
621: [487. 329.]
622: [218.  411.4]
623: [283.  435.6]
624: [218.  443.4]
625: [451.  265.9]
626: [280.  487.5]
627: [303.  501.6]
628: [490. 351.]
629: [480.  332.9]
630: [245.  482.5]
631: [355.  325.7]
632: [287.  497.6]
633: [403.   54.8]
634: [358.   15.7]
635: [476.  372.9]
636: [500. 396.]
637: [331.   30.6]
638: [313.  333.6]
639: [458.  342.9]
640: [476.  383.9]
641: [481.  405.9]
642: [370.  329.7]
643: [493. 376.]
644: [387.  284.8]
645: [371.  242.7]
646: [342.    0.7]
647: [380.  472.7]
648: [259.  454.5]
649: [470.  339.9]
650: [384.   40.8]
651: [428.   31.8]
652: [382.   80.7]
653: [441.  461.9]
654: [336.   64.7]
655: [221.   30.4]
656: [453.  390.9]
657: [244.  286.5]
658: [206.   35.4]
659: [ 25. 457.]
660: [ 16. 409.]
661: [256.  315.5]
662: [378.   13.7]
663: [428.  402.8]
664: [360.  335.7]
665: [468.  350.9]
666: [408.  501.8]
667: [408.  441.8]
668: [313.   20.6]
669: [246.  409.5]
670: [322.  287.6]
671: [330.  497.6]
672: [439.  246.9]
673: [324.   22.6]
674: [296.   55.6]
675: [425.  388.8]
676: [413.  317.8]
677: [371.  354.7]
678: [352.  484.7]
679: [416.  409.8]
680: [222.   80.4]
681: [358.   94.7]
682: [346.   40.7]
683: [484.  368.9]
